Name,Year,tmdb_id,genres,release_year,director,runtime,countries
Up,2009,14160,"['Animation', 'Comedy', 'Family', 'Adventure']",2009,Pete Docter,96,['US']
Bodies Bodies Bodies,2022,520023,"['Horror', 'Comedy', 'Mystery']",2022,Halina Reijn,94,['US']
Get Out,2017,419430,"['Mystery', 'Thriller', 'Horror']",2017,Jordan Peele,104,['US']
Us,2019,458723,"['Horror', 'Mystery', 'Thriller']",2019,Jordan Peele,116,['US']
Barbarian,2022,913290,"['Horror', 'Thriller']",2022,Zach Cregger,102,['US']
Smile,2022,882598,"['Horror', 'Mystery']",2022,Parker Finn,115,['US']
It Chapter Two,2019,474350,"['Horror', 'Thriller']",2019,Andy Muschietti,169,['US']
It,2017,346364,"['Horror', 'Thriller']",2017,Andy Muschietti,135,['US']
The Conjuring,2013,138843,"['Horror', 'Thriller']",2013,James Wan,112,['US']
The Conjuring 2,2016,259693,['Horror'],2016,James Wan,134,['US']
Insidious,2010,49018,"['Horror', 'Thriller']",2011,James Wan,102,"['CA', 'US']"
Rebel Without a Cause,1955,221,['Drama'],1955,Nicholas Ray,111,['US']
Ferris Bueller's Day Off,1986,9377,['Comedy'],1986,John Hughes,103,['US']
The Edge of Seventeen,2016,376660,"['Comedy', 'Drama']",2016,Kelly Fremon Craig,105,"['US', 'CN']"
The Outsiders,1983,227,"['Crime', 'Drama']",1983,Francis Ford Coppola,94,['US']
Stand by Me,1986,235,"['Crime', 'Drama']",1986,Rob Reiner,89,['US']
The Karate Kid,1984,1885,"['Action', 'Adventure', 'Drama', 'Family']",1984,John G. Avildsen,126,['US']
Dirty Dancing,1987,88,"['Drama', 'Music', 'Romance']",1987,Emile Ardolino,100,['US']
Point Break,1991,1089,"['Action', 'Thriller', 'Crime']",1991,Kathryn Bigelow,122,"['JP', 'US']"
Divergent,2014,157350,"['Action', 'Adventure', 'Science Fiction']",2014,Neil Burger,139,['US']
Insurgent,2015,262500,"['Action', 'Science Fiction', 'Thriller']",2015,Robert Schwentke,119,"['CA', 'US']"
Allegiant,2016,262504,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",2016,Robert Schwentke,120,['US']
The Hunger Games,2012,70160,"['Science Fiction', 'Adventure', 'Action']",2012,Gary Ross,142,['US']
The Hunger Games: Catching Fire,2013,101299,"['Adventure', 'Action', 'Science Fiction']",2013,Francis Lawrence,146,['US']
The Hunger Games: Mockingjay – Part 1,2014,131631,"['Science Fiction', 'Adventure', 'Thriller']",2014,Francis Lawrence,123,['US']
The Hunger Games: Mockingjay – Part 2,2015,131634,"['Action', 'Adventure', 'Science Fiction']",2015,Francis Lawrence,137,"['DE', 'US']"
The Dark Knight,2008,155,"['Drama', 'Action', 'Crime', 'Thriller']",2008,Christopher Nolan,152,"['GB', 'US']"
Wonder Woman,2017,297762,"['Action', 'Adventure', 'Fantasy']",2017,Patty Jenkins,141,['US']
Crash,2004,1640,['Drama'],2005,Paul Haggis,112,"['US', 'DE']"
Valentine's Day,2010,32856,"['Comedy', 'Romance']",2010,Garry Marshall,125,['US']
Love Actually,2003,508,"['Comedy', 'Romance', 'Drama']",2003,Richard Curtis,135,"['FR', 'GB']"
Wonder,2017,406997,"['Family', 'Drama']",2017,Stephen Chbosky,113,"['CA', 'HK', 'US']"
Hidden Figures,2016,381284,"['Drama', 'History']",2016,Theodore Melfi,127,['US']
Don't Worry Darling,2022,619730,"['Science Fiction', 'Mystery', 'Horror']",2022,Olivia Wilde,123,['US']
The Kissing Booth,2018,454983,"['Romance', 'Comedy']",2018,Vince Marcello,105,['GB']
To All the Boys: Always and Forever,2021,614409,"['Romance', 'Comedy', 'Drama']",2021,Michael Fimognari,115,['US']
To All the Boys: P.S. I Still Love You,2020,565426,"['Romance', 'Comedy']",2020,Michael Fimognari,102,['US']
Tall Girl,2019,625450,"['Comedy', 'Drama', 'Romance']",2019,Nzingha Stewart,101,['US']
"Love, Simon",2018,449176,"['Comedy', 'Drama', 'Romance']",2018,Greg Berlanti,110,['US']
The Kissing Booth 2,2020,583083,"['Comedy', 'Romance']",2020,Vince Marcello,132,['GB']
No Hard Feelings,2023,884605,"['Comedy', 'Romance']",2023,Gene Stupnitsky,104,['US']
Blockers,2018,437557,['Comedy'],2018,Kay Cannon,102,"['CN', 'JP', 'US']"
Meet the Parents,2000,1597,"['Comedy', 'Romance']",2000,Jay Roach,108,['US']
Zookeeper,2011,38317,"['Comedy', 'Romance', 'Family']",2011,Frank Coraci,102,['US']
Furry Vengeance,2010,35169,"['Family', 'Comedy']",2010,Roger Kumble,92,['US']
"Love, Rosie",2014,200727,"['Romance', 'Drama', 'Comedy']",2014,Christian Ditter,102,"['DE', 'GB']"
My Best Friend's Wedding,1997,8874,"['Comedy', 'Romance']",1997,P.J. Hogan,105,['US']
The Notebook,2004,11036,"['Romance', 'Drama']",2004,Nick Cassavetes,123,['US']
Red Eye,2005,11460,"['Thriller', 'Mystery']",2005,Wes Craven,85,['US']
The Family Stone,2005,9043,"['Comedy', 'Drama', 'Romance']",2005,Thomas Bezucha,103,['US']
17 Again,2009,16996,"['Comedy', 'Fantasy', 'Drama', 'Romance']",2009,Burr Steers,102,['US']
